,titulo
1361,adicionar mus áudio trilhas sonoras jogos pes jogos
1373,corequisitos lp edb
1388,oportunidade vaga estágio dataprev
1391,disciplina programando investimentos tópicos especiais es v
1394,turma imd disponível caicó
1405,grade
1407,calculo calculo diferencial integral equivalentes
1412,turma banco dados dimap
1414,turma horário pleto
1415,certificado pes
1417,horário funcionamento secretaria dia
1418,alterações horários turmas dim última hora
1419,disciplina gestão infraestrutura ti
1422,grade curricular
1452,funcionamento secretaria bti
1454,portal disciplinas imd
1455,turmas pes produção jogos digitais ofertadas
1456,portal disciplinas imd
1462,mudança turno
1473,adiamento eleição coordenação bes
1474,data limite prorrogação prazo conclusão
1476,oportunidade bolsa pibicinpe
1477,homologação chapas processo eleitoral coordenação bes
1478,inscrição fase maratona brasileira programação
1489,processo eleitoral coordenador vicecoordenador ppgti
1490,vendedores alimentos ufrn
1491,consumidores alimentos ufrn
1492,reingresso º ciclo bcc bes
1496,mudança turno integrado
1500,dia inscrição mestrado engenharia mecatrônica bolsas disponíveis
1501,formandos
1502,últimos dias inscrição mestrado engenharia mecatrônica bolsas disponíveis
1503,mudança grade ênfase computação
1511,troca turno
1512,gmtk game jam
1524,última semana seleção mestrado engenharia mecatrônica semestre bolsas disponíveis
1525,formulário interesse discente turmas
1537,formulário dificuldades tdah ple
1540,solicitação mudança ênfaseestrutura curricular
1556,imdie talks evento jogos
1565,edital nº seleção mestrado eng mecatrônica semestre bolsas disponíveis
1566,haverão turmas férias semestre
1570,grade entra vigor
1581,º congresso brasileiro inovação gestão desenvolvimento produto cbgdp
1582,deferimentoindeferimento solicitações proficiência
1612,faq fundamentos jogos digitais podcast tis
1615,palestra precarização trabalho ti papel movimento estudantil
1628,gentileza respondam eve formulário pesquisa ple
1631,oportunidades iniciação científica
1635,curso gratuito power bi
1641,faq acham disciplina fundamentos jogos
1642,vaga estágio
1644,edital nº processo seletivo alunos regulares mestrado ppgemeca semestre
1645,eleições dce ufrn vote h amanhã dia definir gestão dce
1651,permuta turno integral noturno
1653,divulgação vaga estágio análise dados guararapes
1654,abaixo assinado sala estudos imdufrn
1693,itp lp
1709,espaço estudos
1714,mai data eleição representação discente colegiado bcc
1717,mai h h eleições representação discente colegiado bcc
1719,seleção bolsista iniciação científica
1721,turma lp noturno n professor
1739,permuta turno noturno integral
1756,imd turmas professor
1783,turma itp m professor
1797,oportunidade estágio tarken
1799,envio atestado
1801,eleição representação discente colegiado bcc
1802,viver experiência alfabetizar pessoas jovens adultas
1803,integra calouros atlética tirana
1809,dispensa proficiência
1833,canecos tirana
1834,imd sistemas operacionais t professor
1839,mus áudio trilhas sonoras jogos t pes jogos
1843,seleção monitoria fmcii
1845,mesmos criadores indica trampo vagas devs c
1846,divulgação curso introdução ciência dados usando r
1847,recepção alunos ingressantes bti
1850,urgente turma imd sistemas operacionais
1853,imd itp professor
1857,urgente criação vagas turmas itp existentes
1862,funcionamento secretaria bti hoje amanhã
1863,alunos indeferidos matérias
1918,recepção estudantes
1919,dupla tópicos especiais sistemas informação gestão t
1924,rodas conversa diversidade mulheres computação
1926,atlética tirana produtos
1942,participação comissão permanente inclusão acessibilidade cpia imd
1967,formandos
1968,engmaker modulo desenvolvendo arduino basico nivel ii turma
1969,abertura vagas so
1992,seleção voluntários projeto inclusão digital idosos
2003,possibilidade abrir turma sistemas operacionais
2022,bolsa portal disciplinas
2025,disciplinas semestre
2029,oferta ple ple
2031,professor definir
2032,turmas lp noturno
2037,disciplina professor cadastrado
2044,turmas criadas hoje
2050,turmas arq computadores n
2055,turmas poucas vagas
2068,aproveitamento disciplinas
2073,turma cálculo m
2077,turmas rematricula
2109,natal bioinformatics forum
2111,horário funcionamento secretaria
2112,fórum bioinformática natal
2113,cursos verão petcc
2116,apresentação transmissão vivo via youtube entrada via sisu bcc fev h
2117,inscrevamse canais youtube bcc dimap
2118,turmas matérias jogos
2145,turma cálculo it sumiu matrícula sigaa
2148,lp noturno
2160,turma lp integral
2161,oportunidade estágio inss
2162,vaga estágio tecnologia informação dpern
2163,nube oportunidade estágio tecnologia informação
2164,mudança horário turma cálculo diurno
2166,aproveitamento estudos
2171,processo seletivo tsmx sgp
2177,oferta edb lp
2189,compilação turmas ofertadas linha produção jogos digitais bti
2196,possibilidade edb lp serem ead vagas
2201,banco dados ofertada noite
2208,oferta disciplina extensionistah prérequisito pro negócios impacto socioambiental
2209,aberta turma lp n
2217,informações oferta tópicos especiais produção jogos digitais imd
2222,oferta imd geometria euclidiana
2228,aprendizagem baseada projetos
2231,precisamos turmas bti noturno
2258,turmas ead semestre
2298,disciplina edb ofertada imd semestre
2300,imd sistemas operacionais excluída
2306,turmas lp manhã
2311,corequisitos iriam deixar existir semestre
2329,linguagem programação ii noite
2336,itp noturno
2345,turma calculo manhã
2347,disciplinas n
2351,turmas itp
2354,fmc
2362,turmas dim
2363,turmas disciplinas
2374,portal disciplinas imd auxiliar escolha disciplinas
2375,recesso secretaria bti durante ano
2377,turma férias
2391,proficiência
2393,status formando
2399,reingresso º ciclo bcc bes
2403,permuta integral noturno
2410,prorrogação prazo
2418,oportunidade estágio programa verão futebol interativo
2419,mascote atlética bti
2424,prorrogação prazo conclusão
2425,apresentação cursos ciclo bcc bes
2427,palestras carol putáveis binatórios
2428,solicitação mudança ênfaseestrutura curricular
2441,alunos ingressantes
2442,deferimentos solicitações proficiência
2455,ficou situação resultado processos aproveitamento estudos
2460,vaga trabalho
2461,itp férias
2465,matemática elementar férias
2470,processo seletivo ramo ieee ufrn
2474,oferta curso desenvolvimento trilha sonora jogos
2476,assaltos proximo imd
2501,formulário interesse disciplinas semestre btiufrn
2512,divulgação i workshop ti nuplam
2519,evento update daal
2520,oportunidade bolsa
2521,levantamento setor práticas educacionais
2523,palestra ética pesquisa
2524,cadê cadê proficiência boneca
2536,ementas assinadas
2542,inscrições realização atividade evento update
2544,criação atlética bti
2555,permuta turno noturno integral
2556,votação definir nome atlética bti
2559,eleição coordenação bti ocorrendo hoje h
2560,participação organização sibgrapi sbgames svr
2568,turma férias
