,titulo
1415,certificar pes
1417,horário funcionamento Secretaria dia
1418,alteração horário turma dim último hora
1419,disciplina gestão infraestrutura
1422,grade curricular
1452,funcionamento Secretaria bti
1454,portal disciplina imd
1455,turma pes produção jogo digital ofertar
1456,portal disciplina imd
1462,mudança turno
1473,adiamento eleição coordenação bes
1474,data Limite prorrogação prazo conclusão
1476,oportunidade bolso pibicinpe
1477,homologação chapo processo eleitoral coordenação bes
1478,inscrição fase maratona brasileiro programação
1489,processo eleitoral coordenador vicecoordenador ppgti
1490,vendedor alimento Ufrn
1491,consumidor alimento Ufrn
1492,reingresso ciclo bcc Bes
1496,mudança turno integrar
1500,dia inscrição mestrar engenharia mecatrônica bolsa disponível
1501,formando
1502,último dia inscrição mestrar engenharia mecatrônica bolsa disponível
1503,mudança grade ênfase computação
1511,trocar turno
1512,gmtk game jam
1524,último semana seleção mestrar engenharia mecatrônica semestre bolso disponível
1525,formulário interesse discente turma
1537,formulário dificuldade tdah ple
1540,solicitação mudanço ênfaseestrutura curricular
1556,imdie talks evento jogo
1565,edital seleção mestrar eng mecatrônica semestre bolso disponível
1566,haver turma féria semestre
1570,grade entrar vigor
1581,congresso brasileiro inovação gestão desenvolvimento produto cbgdp
1582,deferimentoindeferimento solicitação proficiênciar
1612,faq fundamento jogo digital podcast tis
1615,palestrar precarização trabalho papel movimento estudantil
1628,gentileza respondar formulário pesquisa ple
1631,oportunidade iniciação científico
1635,curso gratuito power
1641,faq achar disciplina fundamento jogo
1642,vagar estágio
1644,edital processo seletivo aluno regular mestrado ppgemeca semestre
1645,eleição dcar ufrn vote amanhã dia definir gestão dce
1651,permuta turno integral noturno
1653,divulgação vago estágio análise dar guararape
1654,abaixo assinar sala estudo imdufrn
1693,itp
1709,espaço estudo
1714,Mai data eleição representação discente colegiar bcc
1717,Mai eleição representação discente colegiar bcc
1719,seleção bolsisto iniciação científico
1721,turma noturno professor
1739,permuta turno noturno integral
1756,imd turma professor
1783,turma itp professor
1797,oportunidade estágio tarken
1799,envio atestar
1801,eleição representação discente colegiar bcc
1802,viver experiência alfabetizar pessoa jovem adulta
1803,integrar calouro atlética tirano
1809,dispensar proficiência
1833,caneco tirano
1834,imd sistema operacional professor
1839,mus áudio trilha sonoro jogo pes jogo
1843,seleção monitorio fmcii
1845,mesmo criador indicar trampo vaga devs
1846,divulgação curso introdução ciência dar usar
1847,recepção aluno ingressante bti
1850,urgente turma imd sistema operacional
1853,imd itp professor
1857,urgente criação vaga turma itp existente
1862,funcionamento Secretaria bti hoje amanhã
1863,aluno indeferir matéria
1918,recepção estudante
1919,dupla tópico especial sistema informaçãor gestão
1924,roda conversa diversidade mulher computação
1926,atléticar tirano produto
1942,participação comissão permanente inclusão acessibilidade cpia imd
1967,formando
1968,engmaker modulo desenvolver arduino basico nivel turma
1969,abertura vaga
1992,seleção voluntário projeto inclusão digital idoso
2003,possibilidade abrir turma sistema operacional
2022,Bolsa portal disciplina
2025,disciplina semestre
2029,oferta ple ple
2031,professor definir
2032,turma noturno
2037,disciplina professor cadastrar
2044,turma criar hoje
2050,turma arq computador
2055,turma pouco vaga
2068,aproveitamento disciplina
2073,turma cálculo
2077,turma rematricula
2109,natal bioinformatics forum
2111,horário funcionamento Secretaria
2112,Fórum bioinformática natal
2113,curso ver petcc
2116,apresentação transmissão vivo ver youtube entrada via sisu bcc fev
2117,inscrevamse canal Youtube bcc dimap
2118,turma matéria jogo
2145,turma cálculo sumir matrícula sigaa
2148,noturno
2160,turmo integral
2161,oportunidade estágio inss
2162,vagar estágio tecnologia informação dpern
2163,nube oportunidade estágio tecnologiar informação
2164,mudança horário turma cálculo diurno
2166,aproveitamento estudo
2171,processo seletivo tsmx sgp
2177,oferta edb
2189,compilação turma ofertar linho produção jogo digital bti
2196,possibilidade edb ser ead vaga
2201,Banco dado ofertar noite
2208,ofertar disciplina extensionistah prérequisito pro negócio impacto socioambiental
2209,abrir turma
2217,informação ofertar tópico especial produção jogo digital imd
2222,ofertar imd geometria euclidiano
2228,aprendizagem basear projeto
2231,precisar turma bti noturno
2258,turma ead semestre
2298,disciplina edb ofertado imd semestre
2300,imd sistema operacional excluído
2306,turma manhã
2311,corequisito deixar existir semestre
2329,linguagem programação noite
2336,itp noturno
2345,turma calculo manhã
2347,disciplina
2351,turma itp
2354,fmc
2362,turma dim
2363,turma disciplina
2374,portal disciplina imd auxiliar escolha disciplina
2375,recesso Secretaria bti durante ano
2377,turmar férias
2391,proficiênciar
2393,status formar
2399,reingresso ciclo bcc Bes
2403,permuta integral noturno
2410,prorrogação prazo
2418,oportunidade estágio programa ver futebol interativo
2419,mascote atléticar bti
2424,prorrogação prazo conclusão
2425,apresentação curso ciclo bcc Bes
2427,palestra carol putável binatório
2428,solicitação mudanço ênfaseestrutura curricular
2441,aluno ingressante
2442,deferimento solicitação proficiênciar
2455,ficar situação resultar processo aproveitamento estudo
2460,vagar trabalho
2461,itp férias
2465,matemáticar elementar férias
2470,processo seletivo ramo ieee ufrn
2474,ofertar curso desenvolvimento trilha sonoro jogo
2476,assalto proximo imd
2501,formulário interesse disciplina semestre btiufrn
2512,divulgação Workshop nuplar
2519,evento update daal
2520,oportunidade bolso
2521,levantamento setor prática educacional
2523,palestro ético pesquisa
2524,cadê cadê proficiência boneca
2536,ementa assinar
2542,inscrição realização atividader evento update
2544,criação atléticar bti
2555,permuta turno noturno integral
2556,votação definir nome atléticar bti
2559,eleição coordenação bti ocorrer hoje
2560,participação organização sibgrapi sbgame svr
2568,turmar férias
2577,painel ensino ihc
2578,formando
2586,algum novidade edital ciclo algum canal unicação formanr
2594,evento educação financeiro agir momento incerteza
2595,pelar bti
2610,trancamento matrícular
2614,permuta turno integral noturno
2615,eleição coordenação bti
2616,ajudar projeto
2625,professor noturno
2644,seleção bolsista petccufrn
2646,vagar empregoestágio
2647,imd sistema operacional
2660,assembleia mensal daal ocorrer hoje
2663,vagar Coordenador
2666,seleção aluno bolsista lappsnpiti
2668,atenção procurase voluntário staff maratona programação
2669,cronograma dispensar proficiência
2676,disciplino férias
2693,oportunidade bolso
2699,data proficiência
2707,vaga indisponivel
2709,seleção alunoso iniciação científico tema engenhario engajado
2710,divulgação evento ieee Week
2712,seleção alunoso iniciação científico tema negócio impacto social nis
2713,seleção voluntário monitoriar pensasmento computacional itp
2714,inscrição aberto potiguar rocket design
2715,Bolsa técnico aluno
2716,sistema operacional professor
2720,disciplina eletivo
2728,conseguir vago introdução técnico programação disciplina semestre
2732,semestre insatisfação
2798,cadastrar email institucional
2803,ieee Week
2806,prazo inscrição maratonar desconto hoje agosto
2807,turma edb noite
2829,regime domiciliar
2831,disciplina optativo aprendizar máquina bioinformático
2832,mudança turno integrar noturno
